"name","api","included","duplicate","duplicateReason","listOk","detailOk","searchOk","searchHasPlayUrl","hasPlayUrl","sampleVodId","searchSampleVodId","error"
"Luna 01 爱奇艺-","https://iqiyizyapi.com/api.php/provide/vod","True","False","","True","True","True","True","True","78352","78352",""
"Luna 02 茅台资源","https://caiji.maotaizy.cc/api.php/provide/vod","False","False","","True","False","False","False","False","","","Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (429) Too Many Requests."""
"Luna 03 卧龙资源","https://wolongzyw.com/api.php/provide/vod","False","False","","False","False","False","False","False","","","Exception calling ""GetResponse"" with ""0"" argument(s): ""The underlying connection was closed: An unexpected error occurred on a send."""
"Luna 04 iKun资源","https://ikunzyapi.com/api.php/provide/vod","True","False","","True","True","True","True","True","68740","68740",""
"Luna 05 电影天堂","http://caiji.dyttzyapi.com/api.php/provide/vod","True","False","","True","True","True","True","True","81976","81976",""
"Luna 06 猫眼资源","https://api.maoyanapi.top/api.php/provide/vod","True","False","","True","True","True","True","True","156831","154230",""
"Luna 07 量子资源","https://cj.lzcaiji.com/api.php/provide/vod","True","False","","True","True","True","True","True","136940","79056",""
"Luna 08 360 资源","https://360zyzz.com/api.php/provide/vod","True","False","","True","True","True","True","True","95050","95050",""
"Luna 09 极速资源","https://jszyapi.com/api.php/provide/vod","True","False","","True","True","True","True","True","108276","108276",""
"Luna 10 魔都资源","https://www.mdzyapi.com/api.php/provide/vod","True","False","","True","True","True","True","True","83109","83109",""
"Luna 11 非凡资源","https://api.ffzyapi.com/api.php/provide/vod","True","False","","True","True","True","True","True","95732","95732",""
"Luna 12 暴风资源","https://bfzyapi.com/api.php/provide/vod","True","False","","True","True","True","True","True","140405","137664",""
"Luna 13 最大资源","https://api.zuidapi.com/api.php/provide/vod","True","False","","True","True","True","True","True","117770","117770",""
"Luna 14 无尽资源","https://api.wujinapi.me/api.php/provide/vod","False","False","","False","False","False","False","False","","","Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"""
"Luna 15 新浪资源","https://api.xinlangapi.com/xinlangapi.php/provide/vod","True","False","","True","True","False","False","True","145211","","Search probe failed: Invalid JSON primitive: 搜索关闭."
"Luna 16 旺旺资源","https://api.wwzy.tv/api.php/provide/vod","True","False","","True","True","True","True","True","33768","33768",""
"Luna 17 速播资源","https://subocaiji.com/api.php/provide/vod","True","False","","True","True","True","True","True","94042","94042",""
"Luna 18 金鹰点播","https://jinyingzy.com/api.php/provide/vod","True","False","","True","True","True","True","True","111724","111724",""
"Luna 19 飘零资源","https://p2100.net/api.php/provide/vod","True","False","","True","True","True","True","True","4840","4840",""
"Luna 20 U酷影视","https://api.ukuapi88.com/api.php/provide/vod","True","False","","True","True","True","True","True","67998","67998",""
"Luna 21 光速资源","https://api.guangsuapi.com/api.php/provide/vod","True","False","","True","True","True","True","True","166630","166630",""
"Luna 22 红牛资源","https://www.hongniuzy2.com/api.php/provide/vod","True","False","","True","True","True","True","True","148042","148042",""
"Luna 23 魔都动漫","https://caiji.moduapi.cc/api.php/provide/vod","True","False","","True","True","True","True","True","83109","83109",""
"Luna 24 如意资源","https://pz.v88.qzz.io/?url=https://cj.rycjapi.com/api.php/provide/vod","False","True","duplicate_api","True","True","True","False","True","77453","","duplicate_api"
"Luna 25 豪华资源","https://pz.v88.qzz.io/?url=https://hhzyapi.com/api.php/provide/vod","False","True","duplicate_api","True","True","True","True","True","134392","134392","duplicate_api"
"Luna 26 百度云zy","https://pz.v88.qzz.io/?url=https://api.apibdzy.com/api.php/provide/vod","True","False","","True","True","True","True","True","49443","49443",""
"Luna 27 艾旦影视","https://pz.v88.qzz.io/?url=https://lovedan.net/api.php/provide/vod","True","False","","True","True","True","True","True","190383","190383",""
